Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"In the Land of Invented Languages: Esperanto Rock Stars, Klingon Poets, Loglan Lovers, and the Mad Dreamers Who Tried to Build a Perfect Language",Arika Okrent,"",9780385527880,hardcover,to-read,2012/10/18,"","",0,"",,,,,,,,,"",,"language-and-semiotics, non-fiction",No
The World's Religions,Huston Smith,"",978006166018,digital,to-read,2012/07/23,"","",0,"",,,,,,,,,"",,religion-and-philosophy,No
The Ocean at the End of the Lane,Neil Gaiman,"",9780062255655,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Interaction of Color,Josef Albers,Nicholas Fox Weber (Contributor),9780300115956,paperback,to-read,2013/05/06,"","",0,"",,,,,,,,,"",,light,No
Hope: A Tragedy,Shalom Auslander,"",9781594488382,hardcover,to-read,2012/08/13,"","",0,"",,,,,,,,,"",,"",No
The Dungeon Anarchist's Cookbook,Matt Dinniman,"",9780593820285,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Nine Perfect Strangers,Liane Moriarty,"",9781250069825,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Speaker for the Dead,Orson Scott Card,"",9780812550757,paperback,read,2015/03/05,2015/06/30,2015/06/30,1,"",,,,,,,4.0,,"",,"fiction, fantasy, religion-and-philosophy",No
Start Something That Matters,Blake Mycoskie,"",9780812981445,paperback,read,2012/07/28,2012/08/15,2012/08/15,1,"",,,,,,,5.0,Everyone should read this book!  It is informative and inspirational and I guarantee it will change how you make decisions.,"",,"biography, non-fiction",No
Nexus,Ramez Naam,"",9780857662934,paperback,to-read,2014/01/13,"","",0,"",,,,,,,,,"",,"fiction, fantasy",No
To Kill a Mockingbird,Harper Lee,"",9780060935467,paperback,to-read,2012/04/21,"","",0,"",,,,,,,,,"",,fiction,No
A Clash of Kings,George R.R. Martin,Kho Sách Hay Gôi Đâu Giuòng (Narrator),"",audio,read,2012/08/30,2012/09/09,2012/09/09,1,"",,,,,,,5.0,,"",,"fiction, fantasy",No
How I Made a Hundred Movies in Hollywood and Never Lost a Dime,Roger Corman,"",9780306808746,paperback,to-read,2012/04/28,"","",0,"",,,,,,,,,"",,"biography, non-fiction",No
Hamlet,William Shakespeare,"","",paperback,read,2012/05/10,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Project Hail Mary,Andy Weir,"",9780593135204,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",Yes
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"","",digital,read,2012/05/09,2012/05/14,2012/05/14,1,"",,,,,,,5.0,,"",,"fiction, fantasy",No
A Streetcar Named Desire,Tennessee Williams,"",9780822210894,paperback,read,2012/04/21,"","",1,"",,,,,,,,,"",,plays-ive-read,No
A Fire Upon the Deep,Vernor Vinge,"",9780812515282,paperback,to-read,2014/01/13,"","",0,"",,,,,,,,,"",,"fiction, fantasy",No
The Kaiju Preservation Society,John Scalzi,"",9780765389121,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Being Wrong: Adventures in the Margin of Error,Kathryn Schulz,"",9780061176043,hardcover,to-read,2012/10/13,"","",0,"",,,,,,,,,"",,"non-fiction, religion-and-philosophy, science-and-math",No
We Burned So Bright,TJ Klune,"",9781250881236,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Endgame & Act Without Words,Samuel Beckett,"",9780802150240,paperback,read,2012/12/16,"","",1,"",,,,,,,,,"",,plays-ive-read,No
"Eat This, Not That! Supermarket Survival Guide",David Zinczenko,"",9781605298382,paperback,read,2012/04/28,"","",1,"",,,,,,,5.0,,"",,non-fiction,No
The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,ภัทริณี เจริญจินดา (Translator),9781878424501,hardcover,read,2012/04/28,"","",1,"",,,,,,,3.0,,"",,religion-and-philosophy,No
Arcadia,Tom Stoppard,"",9780571169344,paperback,read,2012/05/29,"","",1,"",,,,,,,,,"",,"plays-ive-read, religion-and-philosophy",No
11/22/63,Stephen King,"",9781451627282,hardcover,to-read,2012/12/29,"","",0,"",,,,,,,,,"",,"fiction, fantasy",No
Breath: The New Science of a Lost Art,James Nestor,"",9780735213616,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
The Tao of I Ching: Way to Divination,"Jou Tsung Hwa, Tsung Hwa Jou","",,,to-read,2012/05/03,"","",0,"",,,,,,,,,"",,religion-and-philosophy,No
"Nudge: Improving Decisions about Health, Wealth, and Happiness","Richard H. Thaler, Cass R. Sunstein","",9780300122237,hardcover,to-read,2012/09/11,"","",0,"",,,,,,,,,"",,"",No
The Will of the Many,James Islington,"",9781982141172,hardcover,read,2026/02/16,"","",1,"",,"","","","","",3.0,,"","","",Yes
Jade City,Fonda Lee,"",9780316440882,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
"The Long Way to a Small, Angry Planet",Becky Chambers,"",9781473619807,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Everything Is Illuminated,Jonathan Safran Foer,"",9780060529703,paperback,to-read,2012/07/29,"","",0,"",,,,,,,,,"",,"",No
Lord of the Flies,William Golding,"",9780140283334,paperback,read,2012/07/23,"","",1,"",,,,,,,5.0,,"",,fiction,No
